ItemNum,SubItemNum,ItemStartDate,ItemEndDate,Category,Group,SubGroup,SubHeading,ItemType,FeeType,ProviderType,NewItem,ItemChange,AnaesChange,DescriptorChange,FeeChange,EMSNChange,EMSNCap,BenefitType,BenefitStartDate,FeeStartDate,ScheduleFee,Benefit100,BasicUnits,EMSNStartDate,EMSNEndDate,EMSNFixedCapAmount,EMSNMaximumCap,EMSNPercentageCap,EMSNDescription,EMSNChangeDate,DescriptionStartDate,Description,QFEStartDate,QFEEndDate,DerivedFeeStartDate,DerivedFee,Benefit75,Benefit85,Anaes
3,,01.12.1989,,1,A1,,1,S,N,,N,Y,N,N,Y,N,P,E,01.11.2004,01.07.2025,20.05,20.05,,01.11.2012,,,500.00,300.00,,,01.05.2010,"Professional attendance at consulting rooms (other than a service to which another item applies) by a general practitioner for an obvious problem characterised by the straightforward nature of the task that requires a short patient history and, if required, limited examination and management-each attendance",,,,,,,
4,,01.12.1989,,1,A1,,1,S,D,,N,Y,N,N,Y,N,P,D,01.11.2012,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.01.2013,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies) that requires a short patient history and, if necessary, limited examination and management-an attendance on one or more patients at one place on one occasion-each patient",,,01.07.2025,"The fee for item 3, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 3 plus $2.45 per patient.",,,
23,,01.12.1989,,1,A1,,2,S,N,,N,Y,N,N,Y,N,P,E,01.11.2004,01.07.2025,43.90,43.90,,01.11.2012,,,500.00,300.00,,,01.11.2023,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in this Schedule applies), lasting at least 6 minutes and less than 20 minutes and including any of the following that are clinically relevant:(a) taking a patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health-related issues, with appropriate documentation",,,,,,,
24,,01.12.1989,,1,A1,,2,S,D,,N,Y,N,N,Y,N,P,D,01.11.2012,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2023,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies), lasting at least 6 minutes and less than 20 minutes and including any of the following that are clinically relevant:(a) taking a patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health-related issues, with appropriate documentation—an attendance on one or more patients at one place on one occasion—each patient",,,01.07.2025,"The fee for item 23, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 23 plus $2.45 per patient.",,,
36,,01.12.1989,,1,A1,,3,S,N,,N,Y,N,N,Y,N,P,E,01.11.2004,01.07.2025,84.90,84.90,,01.11.2012,,,500.00,300.00,,,01.05.2010,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in the table applies), lasting at least 20 minutes and including any of the following that are clinically relevant: (a) taking a detailed patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-each attendance",,,,,,,
37,,01.12.1989,,1,A1,,3,S,D,,N,Y,N,N,Y,N,P,D,01.11.2012,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.01.2013,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies), lasting at least 20 minutes and including any of the following that are clinically relevant: (a) taking a detailed patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-an attendance on one or more patients at one place on one occasion-each patient",,,01.07.2025,"The fee for item 36, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 36 plus $2.45 per patient.",,,
44,,01.12.1989,,1,A1,,4,S,N,,N,Y,N,N,Y,N,P,E,01.11.2004,01.07.2025,125.10,125.10,,01.11.2012,,,500.00,300.00,,,01.05.2010,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in the table applies), lasting at least 40 minutes and including any of the following that are clinically relevant: (a) taking an extensive patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-each attendance",,,,,,,
47,,01.12.1989,,1,A1,,4,S,D,,N,Y,N,N,Y,N,P,D,01.11.2012,,,,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.01.2013,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies), lasting at least 40 minutes and including any of the following that are clinically relevant: (a) taking an extensive patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-an attendance on one or more patients at one place on one occasion-each patient",,,01.07.2025,"The fee for item 44, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 44 plus $2.45 per patient.",,,
52,,01.12.1989,,1,A2,1,1,S,N,,N,N,N,N,N,N,P,E,01.01.2005,01.12.1991,11.00,11.00,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms of not more than 5 minutes in duration (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,,,,,,
53,,01.12.1989,,1,A2,1,1,S,N,,N,N,N,N,N,N,P,E,01.01.2005,01.12.1991,21.00,21.00,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms of more than 5 minutes in duration but not more than 25 minutes (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,,,,,,
